ecotype;plt;pi;etat;longitude;latitude;semflo;haut;laxl;rambas;rammed;ramapic;longfeu;longpet;dcp;grlon;grlar;huile
931;1;PI586809;NDK;-100,637;47,471;24;100;50;1;2;2;16;3;14,2;NA;NA;NA
931;2;PI586809;NDK;-100,637;47,471;22;70;30;2;2;1;16;7;17,5;NA;NA;NA
931;3;PI586809;NDK;-100,637;47,471;35;150;120;3;1;1;30;12;24,66;5,202;2,481;27,36
931;4;PI586809;NDK;-100,637;47,471;22;40;30;3;2;2;16;6;20,2;NA;NA;NA
931;5;PI586809;NDK;-100,637;47,471;23;60;40;2;3;1;17;5;16,3;NA;NA;NA
931;6;PI586809;NDK;-100,637;47,471;26;60;50;3;2;1;20;8;12;NA;NA;NA
931;7;PI586809;NDK;-100,637;47,471;25;65;60;3;3;2;13;5;18,16;4,815;1,835;21,39
931;8;PI586809;NDK;-100,637;47,471;25;85;60;2;2;1;25;10;19,46;5,265;2,102;23,86
933;1;PI586810;NDK;-101,353;48,225;27;65;60;2;2;1;20;8;13,8;NA;NA;NA
933;2;PI586810;NDK;-101,353;48,225;28;90;80;2;2;1;18;8;31,66;5,461;2,306;25,62
933;3;PI586810;NDK;-101,353;48,225;28;65;40;3;3;2;16;6;14,83;NA;NA;NA
933;7;PI586810;NDK;-101,353;48,225;25;110;100;2;2;1;12;5;25,46;5,454;2,612;18,87
933;9;PI586810;NDK;-101,353;48,225;27;90;70;3;2;2;12;3;19,66;5,404;2,205;28,43
939;1;PI586814;NDK;-103,167;47,8;17;65;30;3;2;1;10;3;NA;NA;NA;NA
939;2;PI586814;NDK;-103,167;47,8;17;65;50;3;2;1;11;3;NA;NA;NA;NA
939;3;PI586814;NDK;-103,167;47,8;24;80;50;3;2;1;18;4;NA;NA;NA;NA
939;4;PI586814;NDK;-103,167;47,8;23;50;45;2;2;2;10;3;20,7;5,593;2,873;26,93
939;5;PI586814;NDK;-103,167;47,8;19;100;50;2;2;2;12;3;14,88;5,511;2,661;25,56
939;6;PI586814;NDK;-103,167;47,8;20;90;65;2;2;2;21;7;20,3;5,738;2,704;24,19
939;7;PI586814;NDK;-103,167;47,8;20;50;40;3;2;2;20;5;NA;NA;NA;21,06
939;9;PI586814;NDK;-103,167;47,8;23;70;65;3;3;2;15;5;31,16;5,996;2,706;25,5
939;10;PI586814;NDK;-103,167;47,8;24;70;65;3;3;2;12;5;29,26;6,111;2,745;25,27
943;1;PI586816;MON;-104,2;47,717;26;120;80;3;3;2;25;10;16,58;NA;NA;NA
943;2;PI586816;MON;-104,2;47,717;24;105;50;3;2;1;9;2;NA;NA;NA;NA
943;3;PI586816;MON;-104,2;47,717;28;85;60;3;2;1;25;9;19,16;NA;NA;NA
943;4;PI586816;MON;-104,2;47,717;24;110;60;3;2;1;22;8;63;5,266;2,283;NA
943;5;PI586816;MON;-104,2;47,717;31;200;120;3;3;2;44;20;26,46;NA;NA;NA
943;7;PI586816;MON;-104,2;47,717;25;100;50;3;2;2;24;8;21,7;NA;NA;NA
943;9;PI586816;MON;-104,2;47,717;27;145;80;3;3;2;29;12;21,46;NA;NA;NA
945;1;PI586817;MON;-105,267;46,667;29;110;70;3;2;2;29;11;20,46;NA;NA;NA
945;2;PI586817;MON;-105,267;46,667;28;95;60;2;3;2;22;8;18,8;NA;NA;NA
945;3;PI586817;MON;-105,267;46,667;48;140;100;3;2;2;37;14;24,76;NA;NA;NA
945;4;PI586817;MON;-105,267;46,667;24;90;50;2;3;2;16;5;21,8;NA;NA;NA
945;5;PI586817;MON;-105,267;46,667;27;110;80;3;2;2;17;5;14,76;NA;NA;NA
945;7;PI586817;MON;-105,267;46,667;40;170;100;3;2;2;41;17;25,66;4,595;2,483;25,1
945;9;PI586817;MON;-105,267;46,667;29;120;60;3;2;2;22;8;24;NA;NA;NA
945;10;PI586817;MON;-105,267;46,667;24;115;75;2;3;3;28;10;17,46;NA;NA;NA
948;1;PI586818;MON;-105,833;46,333;18;90;60;2;2;2;16;7;27,76;4,399;2,588;27,37
948;3;PI586818;MON;-105,833;46,333;25;100;70;0;3;2;20;6;28,66;NA;NA;NA
948;5;PI586818;MON;-105,833;46,333;28;110;80;3;2;2;20;10;30,96;4,963;2,288;25,96
948;6;PI586818;MON;-105,833;46,333;24;100;70;0;2;1;20;6;25,66;NA;NA;NA
948;7;PI586818;MON;-105,833;46,333;28;145;80;2;2;2;21;8;24,86;4,469;2,391;25,06
954;1;PI586821;MON;-105,417;45,5;23;60;45;3;2;1;15;5;23,98;5,784;2,983;25,72
954;2;PI586821;MON;-105,417;45,5;25;140;120;2;3;2;22;6;NA;4,417;2,039;28,11
954;3;PI586821;MON;-105,417;45,5;29;100;90;2;3;2;23;8;24,16;NA;NA;NA
954;4;PI586821;MON;-105,417;45,5;24;95;40;3;2;1;14;4;24,6;NA;NA;NA
954;5;PI586821;MON;-105,417;45,5;27;90;90;3;2;1;27;10;22,6;NA;NA;NA
954;6;PI586821;MON;-105,417;45,5;29;115;90;3;2;2;20;5;24,76;4,593;2,148;29,19
954;7;PI586821;MON;-105,417;45,5;23;70;55;2;2;1;15;8;29,76;6,562;2,741;26,48
954;8;PI586821;MON;-105,417;45,5;29;170;140;3;3;2;23;15;27,66;4,85;2,414;27,63
955;1;PI586822;WYO;-105,417;44,933;21;70;35;1;3;2;12;4;16,3;5,652;3,03;23,78
955;2;PI586822;WYO;-105,417;44,933;25;80;70;3;2;2;20;6;22,7;NA;NA;NA
955;3;PI586822;WYO;-105,417;44,933;29;100;45;0;3;2;20;8;16,46;NA;NA;NA
955;4;PI586822;WYO;-105,417;44,933;29;95;50;3;3;2;18;5;NA;NA;NA;NA
955;5;PI586822;WYO;-105,417;44,933;24;90;50;3;3;2;18;5;NA;5,761;2,935;25,58
955;6;PI586822;WYO;-105,417;44,933;29;185;130;2;2;2;30;12;26,86;5,527;2,684;26,31
955;8;PI586822;WYO;-105,417;44,933;25;120;80;3;3;2;19;7;27,76;5,075;2,639;24,49
955;10;PI586822;WYO;-105,417;44,933;25;100;80;3;3;2;20;6;27,06;4,379;2,363;25,97
963;1;PI586828;WYO;-106,667;44;29;140;90;2;2;1;18;5;16,5;NA;NA;NA
963;2;PI586828;WYO;-106,667;44;26;130;90;2;2;2;16;5;NA;NA;NA;NA
963;3;PI586828;WYO;-106,667;44;21;70;40;3;2;1;12;4;27;5,013;2,994;25,44
963;4;PI586828;WYO;-106,667;44;26;80;80;3;2;2;23;10;30,26;5,203;2,29;31,37
963;5;PI586828;WYO;-106,667;44;26;80;45;2;2;2;11;3;NA;NA;NA;NA
963;6;PI586828;WYO;-106,667;44;22;80;50;3;2;2;10;3;22,16;4,565;1,997;26,69
963;7;PI586828;WYO;-106,667;44;22;85;60;3;2;2;14;5;19,76;5,663;2,39;19,41
963;8;PI586828;WYO;-106,667;44;30;150;110;3;2;1;23;9;31,66;4,936;2,595;27,57
963;9;PI586828;WYO;-106,667;44;21;65;45;3;3;2;12;5;34;6,033;2,657;21,72
963;10;PI586828;WYO;-106,667;44;26;160;100;3;3;2;13;3;24,96;4,398;2,152;27,66
966;1;PI586831;WYO;-104,133;43,85;23;70;60;2;2;1;17;5;37;5,669;2,751;26,08
966;2;PI586831;WYO;-104,133;43,85;22;75;50;2;2;2;13;4;28;5,922;3,229;NA
966;3;PI586831;WYO;-104,133;43,85;25;140;130;3;2;2;11;4;33,76;5,168;2,568;27,79
966;4;PI586831;WYO;-104,133;43,85;21;70;50;0;3;2;11;4;36;5,244;2,49;24,16
966;6;PI586831;WYO;-104,133;43,85;22;120;85;2;2;1;19;6;25,8;5,514;2,633;21,36
966;7;PI586831;WYO;-104,133;43,85;26;100;70;2;3;2;17;7;17,46;4,693;2,374;30,34
966;8;PI586831;WYO;-104,133;43,85;28;120;100;2;3;2;17;8;27,06;4,823;2,285;30,4
966;10;PI586831;WYO;-104,133;43,85;29;180;155;3;2;2;36;14;29,16;NA;NA;NA
970;1;PI586834;SDK;-103,217;43,767;30;145;125;3;3;3;33;11;28,46;4,712;2,454;24,38
970;2;PI586834;SDK;-103,217;43,767;26;130;110;3;3;2;29;8;19,2;NA;NA;NA
970;3;PI586834;SDK;-103,217;43,767;27;120;100;3;3;2;25;6;26,46;4,936;2,281;28,28
970;4;PI586834;SDK;-103,217;43,767;28;120;60;3;2;2;23;8;28,8;4,364;2,12;24,2
970;5;PI586834;SDK;-103,217;43,767;28;105;90;3;3;2;20;8;28,8;4,582;2,404;24,48
970;6;PI586834;SDK;-103,217;43,767;28;110;70;3;3;2;15;5;27;4,749;2,786;28,74
970;7;PI586834;SDK;-103,217;43,767;28;110;80;3;3;2;18;7;26,46;5,051;1,937;30,74
970;8;PI586834;SDK;-103,217;43,767;29;120;85;3;3;2;18;7;27,2;3,95;2,037;24,29
970;9;PI586834;SDK;-103,217;43,767;28;135;105;3;2;2;33;10;29,46;4,57;2,447;28,92
970;10;PI586834;SDK;-103,217;43,767;30;125;95;3;2;2;19;7;35,46;5,127;2,56;28,84
974;1;PI586836;WYO;-104,25;43,05;26;50;30;1;1;1;12;4;16;NA;NA;NA
974;2;PI586836;WYO;-104,25;43,05;24;150;90;2;2;2;17;6;24,46;5,268;2,426;26,2
974;3;PI586836;WYO;-104,25;43,05;26;110;50;3;2;2;26;9;20,8;NA;NA;NA
974;4;PI586836;WYO;-104,25;43,05;24;130;95;3;2;3;15;5;27,6;4,621;2,497;28,35
974;5;PI586836;WYO;-104,25;43,05;26;110;60;2;2;2;12;5;22,96;4,57;1,898;27,38
974;6;PI586836;WYO;-104,25;43,05;28;145;90;3;3;2;16;3;27,76;4,278;2,179;27,86
974;7;PI586836;WYO;-104,25;43,05;28;75;65;3;3;2;12;6;21,4;NA;NA;NA
974;8;PI586836;WYO;-104,25;43,05;29;155;90;3;2;2;25;52;28,46;5,027;2,649;32,28
974;9;PI586836;WYO;-104,25;43,05;24;130;105;2;2;2;15;6;27,96;4,722;2,221;29,28
974;10;PI586836;WYO;-104,25;43,05;28;125;90;3;2;1;22;5;34;4,329;2,294;30,81
975;1;PI586837;WYO;-104,183;42,067;27;120;80;1;2;1;18;5;33;4,72;2,429;26,7
975;2;PI586837;WYO;-104,183;42,067;28;120;80;2;2;2;16;6;29,86;4,253;2,311;29,19
975;3;PI586837;WYO;-104,183;42,067;29;150;90;3;2;2;20;10;23,66;4,427;2,348;28,89
975;4;PI586837;WYO;-104,183;42,067;24;125;90;2;3;1;14;6;15,5;NA;NA;NA
975;5;PI586837;WYO;-104,183;42,067;29;125;100;3;3;2;22;6;27,86;4,395;2,243;27
975;6;PI586837;WYO;-104,183;42,067;31;160;110;3;2;1;26;11;30,66;4,62;2,629;27,11
975;8;PI586837;WYO;-104,183;42,067;29;130;80;3;3;3;12;3;22,06;4,306;1,933;32,23
980;1;PI586840;COL;-104,717;40,617;31;180;125;2;2;2;41;20;27,66;4,399;2,181;32,36
980;2;PI586840;COL;-104,717;40,617;29;150;110;3;2;2;40;18;22,8;NA;NA;NA
980;3;PI586840;COL;-104,717;40,617;37;200;120;3;3;2;50;20;33,16;4,677;2,313;30,31
980;4;PI586840;COL;-104,717;40,617;30;140;120;3;3;2;40;20;30,46;4,975;2,478;33,87
980;5;PI586840;COL;-104,717;40,617;40;150;90;3;3;2;39;19;27,26;3,884;1,866;34,16
980;6;PI586840;COL;-104,717;40,617;33;220;100;3;2;2;50;22;36,3;4,717;2,345;32,18
980;10;PI586840;COL;-104,717;40,617;40;200;130;3;3;2;54;23;37,76;4,452;2,449;29,42
989;1;PI586844;COL;-104,433;39,4;29;110;120;3;3;2;30;15;26,46;5,437;2,809;23,34
989;2;PI586844;COL;-104,433;39,4;30;145;90;3;3;2;30;12;31,3;4,696;2,269;28,58
989;3;PI586844;COL;-104,433;39,4;30;170;130;3;2;2;39;16;33,4;4,206;2,124;31
989;4;PI586844;COL;-104,433;39,4;29;130;115;2;2;2;20;6;NA;NA;NA;NA
989;5;PI586844;COL;-104,433;39,4;30;185;145;3;3;2;35;12;37;4,991;2,649;29,45
989;6;PI586844;COL;-104,433;39,4;31;150;100;3;2;2;20;9;23,6;4,231;1,904;28,86
989;7;PI586844;COL;-104,433;39,4;25;120;95;2;2;2;13;6;25,66;4,249;1,99;28
989;8;PI586844;COL;-104,433;39,4;28;150;140;3;2;2;17;7;25,46;4,628;2,386;30,82
989;9;PI586844;COL;-104,433;39,4;29;150;100;3;3;2;30;10;30,46;4,823;2,486;30,96
989;10;PI586844;COL;-104,433;39,4;27;110;70;3;3;2;23;9;24,16;5,289;2,717;29,97
996;1;PI586847;COL;-102,6;38,767;31;165;130;3;3;3;43;21;37,6;NA;NA;NA
996;2;PI586847;COL;-102,6;38,767;43;230;135;3;2;2;49;22;26,66;5,077;2,447;28,44
996;3;PI586847;COL;-102,6;38,767;60;220;120;1;1;0;56;33;31,46;4,75;2,703;27,69
996;4;PI586847;COL;-102,6;38,767;55;240;80;0;0;1;64;34;28,8;NA;NA;NA
996;5;PI586847;COL;-102,6;38,767;40;200;100;3;2;2;47;24;36,4;4,795;2,151;27,81
996;6;PI586847;COL;-102,6;38,767;31;180;115;3;2;2;36;11;35,86;NA;NA;NA
996;7;PI586847;COL;-102,6;38,767;35;210;155;2;2;1;43;18;32;5,077;2,673;22,59
996;8;PI586847;COL;-102,6;38,767;39;200;145;3;2;2;50;23;31,76;4,637;2,423;27,49
996;9;PI586847;COL;-102,6;38,767;31;185;160;3;2;2;35;12;29;NA;NA;NA
997;1;PI586849;KAN;-101;39,5;49;240;135;3;2;1;54;29;41,46;5,274;2,691;25,73
997;2;PI586849;KAN;-101;39,5;62;240;165;3;1;0;61;33;30,76;NA;NA;NA
997;3;PI586849;KAN;-101;39,5;51;180;120;2;2;1;50;27;34,96;4,677;2,637;26,96
997;4;PI586849;KAN;-101;39,5;53;200;170;3;2;1;52;24;29,26;4,613;2,227;27,45
997;5;PI586849;KAN;-101;39,5;49;230;100;3;2;1;64;29;32,4;NA;NA;NA
997;7;PI586849;KAN;-101;39,5;50;250;105;2;2;1;60;28;35;NA;NA;NA
997;10;PI586849;KAN;-101;39,5;53;250;150;2;2;2;65;35;34,86;NA;NA;NA
998;1;PI586850;KAN;-100,833;39,167;53;210;130;3;2;2;63;34;37,46;5,057;2,416;29,92
998;2;PI586850;KAN;-100,833;39,167;37;180;95;3;2;2;45;18;33,6;4,707;2,209;27,27
998;3;PI586850;KAN;-100,833;39,167;45;210;130;3;2;2;51;29;29,26;4,369;2,11;26,27
998;4;PI586850;KAN;-100,833;39,167;39;210;110;3;3;3;47;19;28,06;NA;NA;NA
998;5;PI586850;KAN;-100,833;39,167;59;220;90;2;1;1;54;26;33,96;5,035;2,218;28,02
998;6;PI586850;KAN;-100,833;39,167;41;220;105;2;2;1;50;25;35,6;NA;NA;NA
998;7;PI586850;KAN;-100,833;39,167;35;190;130;3;2;2;33;7;35;5,297;2,582;29,53
998;8;PI586850;KAN;-100,833;39,167;47;200;140;3;3;2;50;25;31,4;NA;NA;NA
998;9;PI586850;KAN;-100,833;39,167;49;230;150;3;3;2;43;23;32,3;5,663;2,348;26,28
998;10;PI586850;KAN;-100,833;39,167;40;200;150;3;3;2;43;23;30,06;4,477;2,077;30,48
999;1;PI586852;KAN;-100,7;38,467;42;150;110;3;2;2;43;14;31,66;4,382;2,173;29,67
999;2;PI586852;KAN;-100,7;38,467;52;210;130;3;1;1;52;33;29,4;NA;NA;NA
999;3;PI586852;KAN;-100,7;38,467;36;215;115;3;3;2;49;24;26,2;NA;NA;NA
999;4;PI586852;KAN;-100,7;38,467;34;200;170;3;2;2;43;18;27,96;NA;NA;NA
999;5;PI586852;KAN;-100,7;38,467;45;205;125;3;2;2;50;26;30,96;5,112;2,397;27,42
999;6;PI586852;KAN;-100,7;38,467;31;180;120;3;2;2;33;16;31,26;5,179;2,448;27,23
999;7;PI586852;KAN;-100,7;38,467;52;195;125;2;2;2;53;26;26,8;NA;NA;NA
999;9;PI586852;KAN;-100,7;38,467;46;205;105;3;2;2;58;30;30,96;5,811;2,339;29,84
999;10;PI586852;KAN;-100,7;38,467;47;180;120;2;2;2;57;28;34;NA;NA;NA
1000;1;PI586853;KAN;-100,483;38,467;35;145;110;3;3;2;38;13;28,46;3,916;2,373;23,15
1000;2;PI586853;KAN;-100,483;38,467;49;220;115;3;1;1;49;20;NA;NA;NA;NA
1000;3;PI586853;KAN;-100,483;38,467;48;200;115;3;1;1;49;20;31,26;4,369;2,19;30,07
1000;4;PI586853;KAN;-100,483;38,467;39;200;110;2;2;3;50;22;25,46;NA;NA;NA
1000;5;PI586853;KAN;-100,483;38,467;36;180;120;2;3;2;43;21;29;NA;NA;NA
1000;8;PI586853;KAN;-100,483;38,467;48;230;110;3;2;1;48;20;29,26;4,965;2,718;23,82
1000;9;PI586853;KAN;-100,483;38,467;45;230;100;3;2;1;43;23;39,2;NA;NA;NA
1000;10;PI586853;KAN;-100,483;38,467;46;180;120;3;2;2;52;30;33,66;4,494;2,439;21,98
1016;1;PI586867;NEB;-95,933;40,967;61;250;150;2;2;2;50;20;36,96;5,04;2,18;NA
1016;2;PI586867;NEB;-95,933;40,967;100;280;110;2;0;0;49;27;38,66;NA;NA;NA
1016;3;PI586867;NEB;-95,933;40,967;89;240;130;2;1;1;60;30;38,86;NA;NA;NA
1016;4;PI586867;NEB;-95,933;40,967;102;220;160;2;1;1;53;26;33,86;NA;NA;NA
1016;5;PI586867;NEB;-95,933;40,967;101;230;160;2;1;0;53;26;36,26;NA;NA;NA
1018;1;PI586869;NEB;-97,667;41,367;48;220;150;3;2;2;54;29;31,46;5,22;2,54;NA
1018;2;PI586869;NEB;-97,667;41,367;86;260;100;3;2;1;62;32;25,6;NA;NA;NA
1018;3;PI586869;NEB;-97,667;41,367;68;230;160;3;2;1;50;30;29,96;4,66;1,79;NA
1018;4;PI586869;NEB;-97,667;41,367;75;250;110;2;1;1;56;28;27;NA;NA;NA
1018;5;PI586869;NEB;-97,667;41,367;58;270;100;2;1;1;56;28;25,6;NA;NA;NA
1018;6;PI586869;NEB;-97,667;41,367;40;230;130;3;2;2;50;20;27,76;5,13;2,38;NA
1018;7;PI586869;NEB;-97,667;41,367;40;230;130;2;2;2;35;14;27,16;5,25;2,46;NA
1018;9;PI586869;NEB;-97,667;41,367;51;240;150;3;2;1;31;12;28,06;4,27;2,22;NA
1023;1;PI586873;NEB;-99,85;40,567;58;260;115;3;2;2;59;33;37,46;4,481;2,061;32,63
1023;2;PI586873;NEB;-99,85;40,567;49;280;130;2;2;1;57;32;33,46;5,091;2,435;29,11
1023;3;PI586873;NEB;-99,85;40,567;68;290;120;3;2;1;52;25;33,86;NA;NA;NA
1023;4;PI586873;NEB;-99,85;40,567;66;300;120;2;1;1;62;36;25,2;NA;NA;NA
1023;5;PI586873;NEB;-99,85;40,567;76;270;145;3;2;1;55;29;29,46;NA;NA;NA
1023;8;PI586873;NEB;-99,85;40,567;45;230;160;3;2;2;40;19;31,96;4,331;2,219;27,24
1030;1;PI586877;NEB;-100,767;41,167;35;190;125;3;3;2;47;20;29,86;5,433;2,241;27,34
1030;2;PI586877;NEB;-100,767;41,167;36;210;130;3;2;2;47;20;29,46;3,874;1,994;26,1
1030;3;PI586877;NEB;-100,767;41,167;40;200;100;3;2;2;40;20;33,66;4,737;2,384;27,44
1030;7;PI586877;NEB;-100,767;41,167;39;220;130;3;2;2;55;30;32,16;4,51;1,867;30,51
1030;10;PI586877;NEB;-100,767;41,167;36;220;140;3;3;2;45;19;32,26;4,344;2,147;29,04
1042;1;PI586882;SDK;-99,017;44,5;47;210;140;3;2;2;50;14;32,66;5,456;2,446;27,61
1042;2;PI586882;SDK;-99,017;44,5;38;135;115;2;0;0;47;13;31,66;7,126;3,093;29,95
1042;3;PI586882;SDK;-99,017;44,5;34;160;130;3;2;2;46;15;29,66;5,172;2,397;24,84
1042;4;PI586882;SDK;-99,017;44,5;35;180;130;3;2;2;45;20;26,6;5,213;2,235;25,3
1042;5;PI586882;SDK;-99,017;44,5;31;130;90;3;3;2;33;12;26,66;4,181;2,198;23,25
1042;7;PI586882;SDK;-99,017;44,5;34;110;80;3;3;3;23;7;22,3;6,263;2,975;22,04
1042;9;PI586882;SDK;-99,017;44,5;69;250;150;2;2;2;50;29;34,46;NA;NA;NA
1047;1;PI586884;SDK;-97,15;44,017;28;110;80;3;3;2;29;11;21;NA;NA;NA
1047;2;PI586884;SDK;-97,15;44,017;35;140;130;2;3;3;25;10;36,26;5,534;2,635;25,52
1047;3;PI586884;SDK;-97,15;44,017;32;200;120;3;3;2;35;14;30,2;4,65;2,029;28,85
1047;4;PI586884;SDK;-97,15;44,017;75;245;160;2;2;1;58;29;28;NA;NA;NA
1047;5;PI586884;SDK;-97,15;44,017;28;130;120;3;2;2;27;7;32,66;4,953;2,299;26,17
1047;6;PI586884;SDK;-97,15;44,017;41;230;130;3;2;2;40;19;31,26;5,903;2,633;24,08
1047;7;PI586884;SDK;-97,15;44,017;40;200;110;3;3;2;45;20;26;NA;NA;NA
1047;9;PI586884;SDK;-97,15;44,017;46;260;90;3;2;2;50;22;32,26;4,443;2,433;23,45
1047;10;PI586884;SDK;-97,15;44,017;27;130;90;3;3;1;15;7;26,46;4,877;2,369;22,31
1055;1;PI586887;SDK;-98,117;45,5;27;75;55;2;2;2;17;7;15;NA;NA;NA
1055;2;PI586887;SDK;-98,117;45,5;33;140;70;3;2;2;34;14;23,46;NA;NA;NA
1055;3;PI586887;SDK;-98,117;45,5;32;100;55;3;3;3;32;14;19,46;NA;NA;NA
1055;4;PI586887;SDK;-98,117;45,5;32;145;80;2;3;2;29;10;19,26;NA;NA;NA
1055;5;PI586887;SDK;-98,117;45,5;34;150;95;3;3;2;32;13;20,76;4,301;2,204;27,24
1055;10;PI586887;SDK;-98,117;45,5;53;240;150;3;2;2;54;29;30,46;4,555;2,307;25,43
1136;1;EBP5;SDK;-98,8;48,78;68;255;150;3;2;2;56;30;27,86;4,367;2,107;23,03
1136;2;EBP5;SDK;-98,8;48,78;27;85;50;3;3;2;23;6;25,8;4,055;2,021;20,31
1136;3;EBP5;SDK;-98,8;48,78;43;185;135;2;2;2;37;12;29;4,396;1,932;26,93
1136;4;EBP5;SDK;-98,8;48,78;33;175;100;3;3;3;33;12;23,26;4,835;2,179;28,27
1136;5;EBP5;SDK;-98,8;48,78;27;90;80;3;3;3;23;9;18,16;4,343;1,725;27,94
1147;1;EBP16;COL;-105,68;39,74;29;65;35;2;2;2;20;7;19;NA;NA;NA
1147;2;EBP16;COL;-105,68;39,74;29;200;125;2;3;2;33;11;26,48;5,865;3,139;30,14
1147;3;EBP16;COL;-105,68;39,74;29;175;120;3;3;3;29;10;32,86;4,732;2,404;28,21
1147;4;EBP16;COL;-105,68;39,74;36;155;110;3;3;2;35;13;30,96;4,905;1,949;33,72
1147;5;EBP16;COL;-105,68;39,74;36;210;140;2;3;2;48;19;36,66;6,669;3,016;28,73
1148;1;EBP17;COL;-107,26;39,55;34;160;130;3;3;2;30;15;29,46;5,084;2,846;28,41
1148;2;EBP17;COL;-107,26;39,55;33;140;105;2;3;2;24;9;27,46;NA;NA;NA
1148;3;EBP17;COL;-107,26;39,55;30;175;125;3;3;2;22;8;27,46;4,725;2,18;28,64
1148;4;EBP17;COL;-107,26;39,55;30;180;160;3;3;2;32;9;28,96;NA;NA;NA
1148;5;EBP17;COL;-107,26;39,55;30;200;160;3;3;2;30;9;34,46;5,433;2,695;24,58
1149;1;EBP18;UTA;-110,801;39,6;36;265;155;2;2;2;42;16;36,76;4,581;2,679;32,91
1149;2;EBP18;UTA;-110,801;39,6;34;140;135;3;3;2;42;17;29,46;5,69;2,985;30,07
1149;3;EBP18;UTA;-110,801;39,6;34;170;120;2;3;2;34;12;31,46;5,256;2,417;32,28
1149;4;EBP18;UTA;-110,801;39,6;35;170;135;2;2;2;29;10;29,96;5,388;2,787;30,82
1149;5;EBP18;UTA;-110,801;39,6;36;200;130;3;3;3;48;18;33,76;5,543;3,041;29,39
1150;1;EBP19;MON;-108,538;45,79;53;200;150;3;3;2;65;36;38,76;4,78;2,43;29,48
1150;2;EBP19;MON;-108,538;45,79;36;175;115;3;3;3;43;20;26,66;4,98;2,28;30,2
1150;3;EBP19;MON;-108,538;45,79;27;95;70;3;3;2;18;6;22,46;4,62;2,18;NA
1150;4;EBP19;MON;-108,538;45,79;27;130;85;3;3;3;15;6;20,96;4,65;1,91;NA
1150;5;EBP19;MON;-108,538;45,79;30;160;105;3;3;3;21;9;30,96;6,045;2,681;28,15
